Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
SOLIDWORKS 2021 Essential Training,"SOLIDWORKS is the premier product-design software—enabling you to deliver innovative solutions to market faster. In this course, Gabriel Corbett teaches you how to build ready-to-manufacture parts and assemblies as well as detailed drawings and itemized bills of materials in SOLIDWORKS 2021. Learn how to create 2D sketches and then extrude, revolve, loft, and sweep these features into 3D objects. Find out how to make cuts and create standard holes, and explore more advanced modeling techniques using blocks, mirroring, and the SOLIDWORKS pattern tools. Then review best practices for putting parts together in assemblies and creating detailed drawings. Along the way, Gabriel highlights new features from the 2021 release, as well as features designed for users with pen or touch devices.",Course,2022-06-03 13:22 UTC,N/A,false,N/A,
Revit: Structural Analysis Tools,"Explore the fundamentals of structural analysis in a Building Information Modeling (BIM) workflow using Autodesk Revit for improving design accuracy, analyzing the effects of structural loads, and creating more resilient and sustainable designs. Instructor Eric Wing demonstrates how to set load cases and boundary conditions, and check a model for consistency. Eric also shows how to use Autodesk Robot to perform detailed analysis and explore the results.",Course,2021-06-04 03:33 UTC,N/A,false,N/A,
CATIA V5: Surfacing,"CATIA is a world-class 3D software that incorporates computer-aided design (CAD), computer-aided manufacturing (CAM), and computer-aided engineering (CAE) capabilities. In this course, get up to speed with CATIA V5 by learning how to work with surfaces using this powerful tool. Learn about the basic surface creation tools like extruded and revolved surfaces, as well as offset, sweep, and fill operations. Plus, discover how to join, split, and trim surfaces, and how to verify that your surfaces are built cleanly using the Connect Checker.",Course,2020-11-24 12:59 UTC,N/A,false,N/A,
Sales Management Foundations,"When sales forces are managed well, companies drive more revenue. In this course, marketing professor Drew Boyd explains what sales management is, why it is important, and how you can get the skills you need to become an outstanding sales manager and recruit, train, retain, and manage a high-performing sales team. He reveals how to motivate individual salespeople and teams with compensation and quotas. Drew also provides an overview of creating and managing sales territories, including sales forecasting and evaluation of territories' performance. Last but not least, he shows you how to adapt all the lessons in this course to successfully manage in a remote/hybrid work environment.",Course,2022-03-19 09:50 UTC,N/A,false,N/A,
Business Analysis Foundations,"One of the main reasons given for unsuccessful project results is the lack of clear understanding of stakeholder requirements. Business analysis helps to prevent project failure by identifying and validating those requirements early on. Of course, business analysis doesn’t stop with requirements—business analysts also recommend solutions and facilitate their execution. This course provides an introduction to the foundations of business analysis. It helps demystify the role of the business analyst (BA), and outlines the knowledge and skills required to build a successful BA career. Instructor Greta Blash also provides an in-depth review of the business analysis process, from conducting a needs assessment and identifying stakeholders to testing, validation, and release. Each lesson demonstrates why business analysis works—and how you can use it to improve your organization.",Course,2023-08-18 01:00 UTC,2023-08-18 00:39 UTC,true,N/A,
SOLIDWORKS: Designing for Consumer Electronics,"Consumer electronics are all around us, and new products are created every year. In this course, instructor Johno Ellison teaches the basics of designing these items in SOLIDWORKS. Through this project-based course, he shows you how to design a game controller using SOLIDWORKS features like lofts, fillets, mirroring, and shell. Course projects include creating an assembly, adding fastening details, and even creating the buttons, joystick, and printed circuit board that go into the controller. Johno concludes with a discussion of development and potential next stages in the design process.",Course,2021-05-01 05:42 UTC,N/A,false,N/A,
Agile at Work: Building Your Agile Team,"Agile is becoming the preferred project management approach for fast-moving projects. At the heart of any agile project lies an agile team. In this course, the first in the <i>Agile at Work</i> series, expert Doug Rose uses a sample project to show how to build your agile team. A team with an agile mindset is self-organized, collaborative, and accountable. He also outlines the common pitfalls inherent in the implementation: new teams need to watch for confusing their roles and understand the challenges with managing self-organized groups.",Course,2020-11-03 04:17 UTC,N/A,false,N/A,
Critical Thinking and Problem Solving,"As a leader, your team and organization rely on you to have good judgement and make the right decision with the information you have. Good decisions are the product of strong critical thinking skills and thoughtful problem solving. And like all skills, you can learn, practice, and get better at them. In this course, Dr. Eric Zackrison helps you do just that. He shows how to critically assess the source of information and how to determine the right approach to take. Eric also demonstrates strategies for approaching both simple and complex problems, and details taking your team through the entire life cycle of a challenging decision. He also imparts an understanding of common traps people fall into when solving problems, both individually and as a team. After this course, you’ll have the tools to approach your next problem more critically and solve it more effectively.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2021-09-04 16:15 UTC,N/A,false,N/A,
Talent Management,"Effective talent management drives benefits for an organization. In this course, leadership, team, and organizational development consultant Katy Sharon reveals how aligning talent management with your company's strategic plan directly impacts business success. She reveals how to build a top-notch talent management strategy, use that strategy to create a talent management plan, and bring it all together using best practices. Along the way, she explains how to identify talent needs, assess existing talent, recruit the right people, and develop employees to meet talent needs. Plus, Katy provides you with a high-level look at succession planning.",Course,2021-07-26 04:01 UTC,N/A,false,N/A,
Project Management Reinvented for Non-Project Managers,"<div><a href=""https://www.linkedin.com/newsletters/6820596029113565184?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Antonio's LinkedIn Newsletter</a></div><br>Over the past few years, organizations have seen a significant increase in the number of projects, asking employees and managers to spend more time on project-based work. Project management has become one of the most sought-after skills, yet most people have never learned the basics of project management. This course from project management expert Antonio Nieto-Rodriguez aims at providing an initial foundation, with easy to understand definitions and basic and refreshed project management concepts, to help you have a better understanding of your projects and what it takes to make projects succeed. If you’re one of the increasing number of people managing projects who don’t have a title that says “project manager,” this course is for you.",Course,2022-11-08 20:42 UTC,N/A,false,N/A,
Learning LinkedIn Recruiter (2021),"Find the candidates you need with LinkedIn Recruiter, the industry-leading recruiting tool. LinkedIn Recruiter is used by hiring managers, HR teams, and staffing recruiters to find the right people for the right jobs. Watch this course to learn how to fully utilize Recruiter to search for, organize, and contact candidates. LinkedIn Learning staff instructor Oliver Schinkten shows how to create projects and efficiently search for talent in Recruiter, including how to save custom filters and find people who share similar traits with an existing candidate or employee. He also demonstrates how to leverage tools for managing your pipeline and communicating with your team. Plus, find out how to post a job and evaluate the performance of your recruiting efforts with reports.",Course,2021-07-16 12:15 UTC,N/A,false,N/A,
Requirements Elicitation for Business Analysts: Interviews,"Interviews can be an effective component in identifying requirements during project planning, and help business analysts and project managers understand the project from the user's point of view. This course covers interview techniques that can help build relationships with project stakeholders and obtain accurate information about project needs. Author Angela Wick helps you identify when to use interviews, who to interview, and how to plan, conduct, and follow up on interviews.",Course,N/A,N/A,true,N/A,
AutoCAD: Tips & Tricks,"Take your CAD skills up a notch. Work smarter, not harder, with AutoCAD. <>iAutoCAD Tips & Tricks</i> provides weekly tips, techniques, and workarounds to make designers like you more effective and more productive. Learn how to use AutoCAD features in exciting new ways, customize the workspace and shortcuts to save time, create more accurate drawings with the measurement and organization tools, and more. Shaun Bryant's insights give you that competitive edge you can't get from a regular training manual. Tune in every Wednesday for a new tip!
</br></br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2021-01-15 10:31 UTC,N/A,false,N/A,
Foundations of Decentralized Finance (DeFi),"No matter where you go these days, it seems like everyone is talking about cryptos. The future of finance—who can predict it? Will money ever be the same? In this course, instructor Kedric Van de Carr shows you how the world of finance has been changed dramatically by cryptos, blockchain, non-fungible tokens (NFTs), and internet banking—all of which mark the rise of decentralized finance, or DeFi, for short.<br><br>Explore the foundations and key concepts of DeFi in daily economic practice, how it works, how it is utilized, and where it may be headed in the future. From stablecoins and DEXs to automated market makers and decentralized lending platforms, Kedric walks you through the essential tools and potential yields of what it means to have a public-run financial system without stakeholders controlling the terms.",Course,2023-05-23 12:18 UTC,N/A,true,N/A,
Financial Modeling and Forecasting Financial Statements,"Financial reports are not just summaries of the past—they also include predictions for the future. In fact, most financial institutions are more interested in future performance than historical trends. Banks want to know your future cash flow; investors want to know future profits. In this course, Jim and Kay Stice explains how to create forecasted financial statements for your company. Learn how to use past data such as cost of goods sold, depreciation expenses, and levels of inventory, and understand what caused those numbers to fluctuate over time. Then you can learn how to use the information as the basis for forecasting, applying a simple but powerful equation: assets = liability + equity. You get hands-on practice building three different documents: a forecasted income statement, a forecasted balance sheet, and a forecasted statement of cash flow. Throughout the course, Jim and Kay use famous business cases—like Home Depot’s 1985 cash-flow crisis—to illustrate the importance of accurate financial forecasts and their impact on business decisions.",Course,N/A,N/A,true,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2023-01-26 19:29 UTC,N/A,false,N/A,
SOLIDWORKS: Simulation for Finite Element Analysis,"SOLIDWORKS Simulation offers tools that can help you test your designs and determine how to best enhance the quality of your products. In order to perform effective stress analysis, designers need to know not only the SOLIDWORKS Simulation user interface, but also the methodology and application of finite element analysis (FEA) in general. This course introduces how to set up a model for FEA analysis, run the analysis, and interpret the results to optimize your SOLIDWORKS models. Upon completing this course, you'll have the knowledge you need to carry out FEA with confidence.",Course,2021-12-10 16:47 UTC,N/A,false,N/A,
The Secrets to Success at Work,"Regardless of your profession or career stage, you can excel and be successful at work. In this course, Nigel Cumberland—a prolific author, leadership development expert, and executive coach—reveals the twelve essential skills professionals need to stand out from the crowd and accelerate their career. Nigel covers the importance of asking for and receiving feedback; strengthening your EQ to ensure that your emotions don't negatively impact your performance; and nurturing relationships with mentors. He shares tips for communicating more effectively, including how to develop active listening skills and project authority and confidence when you speak. Plus, he covers how to create and maintain outstanding relationships with colleagues, remain resilient when grappling with ambiguity and rapid change, and apply simple time management techniques to help you focus your energy on what truly matters.",Course,2023-04-23 19:09 UTC,N/A,false,N/A,
BIM 360: Administration Quick Start,"BIM 360 is a powerful, full-featured tool for managing construction projects. Using this platform, architects, engineers, and construction professionals can speed up their workflow by moving their projects off of their local servers and into the cloud. In this course, learn what you need to know to get a project up and running with BIM 360. Instructor Eric Wing provides an overview of the different BIM 360 applications, their purpose, and how to purchase just what you need. He then covers how to configure Revit to work correctly with BIM 360, set up your hub, and start creating projects. Plus, discover how to assign users, set permissions, and work with models. Upon wrapping up this course, you'll have the knowledge you need to get a project configured and connected to Revit, as well as publish the project's models.",Course,2022-11-22 10:00 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling Gears,"Do you need to design and build gears for work, study, or a hobby? In this course, instructor Ryan Krawchuk covers the basics of mechanical gears, gives a hands-on lesson on modeling a spur gear using SOLIDWORKS, and then describes how to create a simple assembly. Ryan begins with a description of spur gears, helical gears, and others gears, as well as their respective applications. He covers key gear design attributes and nomenclature. Ryan steps you through spur gear equations, for both metric and English measurement systems, then goes through each step in modeling a spur gear. Once your gear model is complete, he shows you how to design the mounting plate that gears sit on, how to insert gears and mounting plates into your assembly, and how to use concentric and coincident gear mates. He discusses how to use a series of gear mates to allow gears to rotate dynamically to one another, then concludes by showing you how to animate your assembly with a SOLIDWORKS motion study.",Course,2022-02-25 09:32 UTC,N/A,false,N/A,
MySQL Essential Training,"MySQL is one of the most popular database management systems for small- to medium-sized web projects. In this course, Bill Weinman provides clear, concise tutorials that guide you through creating and maintaining a MySQL database of your own. Bill explores the basic syntax, using SQL statements to insert, update, and delete data from your tables. He also covers creating a new database from scratch, as well as working with data types, operators, and string and mathematical functions. Plus, learn about the key differences between standard SQL and SQL as implemented by MySQL.",Course,2023-07-29 09:47 UTC,N/A,false,N/A,
Power BI: Dashboards for Beginners (2020),"Get a short and simple beginner's guide to Power BI. In this quick course, Joshua Rischin demystifies the process of building dashboards in Power BI, the powerful business analytics and data visualization tool from Microsoft. Joshua begins with a quick primer on how Power BI dashboards work, including the building blocks of a dashboard. Next, he shows how to select the right data and connect it to your dashboard. You can then learn how to prepare and adjust the dashboard’s layout, select and configure a chart type, apply dashboard filters, and enhance the dashboard in a number of useful ways. These lessons make it easy even for novice users to turn raw data into a powerful story that can help drive better business decisions.",Course,2022-04-19 10:34 UTC,N/A,false,N/A,
Decision Intelligence,"In a world driven at every level by data, what does it mean to be in—or aspire to—a position of leadership? What are the core principles you need to learn and understand at the deepest level? In this course, Google's Chief Decision Scientist Cassie Kozyrkov—one of the most high-profile data-culture evangelists in the world—lays out 18 clear and concise lessons that every business and organizational leader needs to make their team and their org thrive in a data-driven world. Learn principles for the leader's role in data, decision making in and with data, and the role of delegation and trust in data-driven decision making. Cassie also explains the four aspects of AI and machine learning and how this can affect your business. Plus, discover how to build a healthy data culture and learn some best practices—the importance of doing data work in the right order, the value of testing, harnessing the power of large data sets, and more.",Course,2023-09-13 06:27 UTC,N/A,false,N/A,
SQL Essential Training (2019),"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2022-02-10 21:23 UTC,N/A,false,N/A,
Transform Your Business through Sustainability and Climate Leadership,"<p>Sustainability and climate action have become key requirements for business leadership today. In this course, LinkedIn Changemaker and sustainability and design provocateur Leyla Acaroglu provides the terminology, literacy, and techniques that you need to build a sustainability action plan to transform your business. Leyla explains the steps you’ll need to take to move from business as usual to full systems sustainability. She offers a clear and actionable overview that supports managers and emerging leaders in developing an action plan for sustainability leadership in their organization. Leyla highlights the advantages of taking action now, such as risk resilience, and attracting and retaining talent, and staying ahead of what regulations require. She also presents a response you can use for regions that have already implemented policies, such as the EU. Plus, Leyla gives you guidance on how to avoid greenwashing.</p>",Course,2023-10-02 05:30 UTC,N/A,false,N/A,
Human Resources: Payroll (2021),"Payroll is a core function in HR. Complex tax and labor laws can make it seem daunting, but with the right tools and techniques, your payroll can function like a well-oiled machine. This course teaches HR professionals how to set up and administer a payroll system. HR consultant Gabriella Parente-Neubert covers 13 of the most common payroll topics, including classifying workers, understanding exempt vs. nonexempt employees, retaining records, and picking a payroll system. She also reviews details such as paying sick and vacation time, understanding the role of benefits in compensation, and processing final wages as the result of termination. Using her guidance, you'll be able to build a successful payroll system that ensures employees are paid correctly and punctually every time.",Course,2021-07-20 04:17 UTC,N/A,false,N/A,
Excel: Financial Functions in Depth (2019),"Analyzing financial data can seem intimidating, but Microsoft Excel has a wide range of functions to perform these calculations quickly and easily. This course shows users how and when to use each of the financial functions available in Excel. Author Curt Frye covers evaluating loan payments; calculating depreciation; determining rates of return, bond coupon dates, and security durations; calculating prices and yields; and more.<br><br>

Note: This course was recorded in Office 365, but anyone using a recent version of Excel—including 2019, 2016, and some earlier versions—will be able to follow along.",Course,2022-01-04 16:01 UTC,N/A,false,N/A,
SOLIDWORKS 2020 Essential Training,"SOLIDWORKS is the premier product-design software—enabling you to deliver innovative solutions to market faster. In this course, Gabriel Corbett teaches you how to build ready-to-manufacture parts and assemblies as well as detailed drawings and itemized bills of materials in SOLIDWORKS 2020. Learn how to create 2D sketches and then extrude, revolve, loft, and sweep these features into 3D objects. Find out how to make cuts and create standard holes, and explore more advanced modeling techniques using blocks, mirroring, and the SOLIDWORKS pattern tools. Then review best practices for putting parts together in assemblies and creating detailed drawings. Along the way, Gabriel highlights new features from the 2020 release, as well as features designed for users with pen or touch devices.",Course,2021-04-06 09:02 UTC,N/A,false,N/A,
How to Launch a Career in Project Management,"Project management is an increasingly popular career path, but how does one get started in the field? If you’re interested in a career as a project management professional but have questions like “Where do I start?” and “What qualifications do I need?” join Bonnie Biafore and Chris Croft in this course and learn from two experts in the field. Starting with an important decision to make—deciding whether you’re cut out to be a project manager—Bonnie and Chris give you a guided tour of a project management career, from getting started to possible career paths you could follow. They explore employed and self-employed options, how to climb the corporate PM ladder, skills vs. qualifications, and also explain the certifications you can earn to further your career.",Course,2023-08-11 08:45 UTC,N/A,false,N/A,
Power BI Essential Training (2020),"Discover how to quickly glean insights from your data using Power BI. This formidable set of business analytics tools—which includes the Power BI service, Power BI Desktop, and Power BI Mobile—can help you more effectively create and share impactful visualizations with others in your organization. In this course, Gini von Courter helps you get started with this powerful toolset. Gini begins by covering the web-based Power BI service, explaining how to import data, create visualizations, and arrange those visualizations into reports. She discusses how to pin visualizations to dashboards for sharing, as well as how to ask questions about your data with Power BI Q&A. She also provides coverage of Power BI Mobile and shows how to use the data modeling capabilities in Power BI Desktop.",Course,2022-04-25 21:00 UTC,N/A,false,N/A,
Machine Learning with Python: Foundations,"You’ve probably heard about machine learning before, but have you ever wondered what that term really means? How does a machine learn? Have you thought about building a machine learning model, but didn’t know where to start?
In this course, Frederick Nwanganga introduces machine learning in an approachable way and provides step-by-step guidance on how to get started with machine learning via the most in-demand language in use today, Python. Frederick starts with exactly what it means for machines to learn and the different ways they learn, then gets into how to collect, understand, and prepare data for machine learning. He also provides guided examples of how to accomplish each step using Python. Finally, he brings it all together to build, evaluate, and interpret the results of a machine learning model in Python.",Course,2023-05-16 18:51 UTC,N/A,false,N/A,
Talent Sourcing (2016),"In the war for talent, it's important to create an effective recruiting strategy. It begins with knowing where to find or ""source"" the best possible candidates. You need to proactively identify and attract top talent, so that when a position becomes available, you have developed a pipeline of qualified candidates. Learn the meaning of talent sourcing and how to create and implement a winning sourcing strategy. Award-winning recruiter and trainer Barbara Bruno introduces basic and higher-level candidate sourcing techniques, explains how to identify resources with the best ROI, and explains how to use big data, social media, and tools like LinkedIn Recruiter in your sourcing efforts.",Course,2021-07-15 05:31 UTC,N/A,false,N/A,
Excel Essential Training (Microsoft 365),"<p>Get up to speed with Microsoft Excel, the world's most popular spreadsheet program. Follow along with Excel expert Dennis Taylor as he demonstrates how to efficiently manage and analyze data with this powerful program. Learn how to enter and organize data, perform calculations with simple functions, and format the appearance of rows, columns, cells, and data. Plus, check out Excel’s newly revamped Accessibility Checker that helps you adjust fonts and colors to be more readable and add alt-text for images, to make your workbooks more accessible to people with disabilities. Other lessons cover how to work with multiple worksheets, build charts and PivotTables, sort and filter data, print in Excel, use Microsoft Copilot with Excel, and more.</p>",Course,2023-03-12 23:36 UTC,N/A,false,N/A,
Data Analytics with Google Cloud BigQuery and Looker Studio,"When you think about the best storytellers of the 21st century, you might not think… data? But data analytics play an increasingly large role in how we interpret what’s happening around us and is indispensable in solving real-world problems. In this course, learn how to use Google Cloud BigQuery and Looker Studio to tell your data analytics stories. Instructor Yoyu Li provides a step-by-step demonstration of solving a real-world data analytics challenge, looking at global temperature changes over nine decades. Yoyu shares a full view of the process of telling a story with data, starting from a problem statement. She shows you how to use public datasets in BigQuery, how to run SQL queries, how to add data sources, and visualize data in Looker Studio. Yoyu starts each chapter with a problem to solve, so you can immediately see the concepts in action as go you along.",Course,2023-09-08 10:02 UTC,N/A,false,N/A,
SQL for Data Analysis (2020),"If you’re looking to get Structured Query Language into your application development, but your story is more prequel than SQL, you need to build a solid foundational knowledge of SQL analysis. In this course, instructor Nikiya Simpson starts with a quick review of SQL basics, then focuses on fundamental SQL queries used in beginning data analysis. Nikiya explains the importance of asking the right questions of your data, as well as how those questions translate into SQL. She also shows how these concepts can be used to derive quick insights from your data to help drive effective decision-making. Nikiya finishes the course by demonstrating how to incorporate queries into tools like Microsoft Power BI to help bring you data to life.",Course,2023-05-23 19:39 UTC,N/A,false,N/A,
"Choose the Right Tool for Your Data: Python, R, or SQL","Data professionals should choose the most effective and efficient tool for the task at hand. In some cases Python may be the right fit while R would be terrible in getting the job done, and in other cases the opposite may be true. Additionally, these coding languages are the most in-demand and essential, not only in data professions but also in several other tech fields. In this course Megan Lieu covers the use cases, pros and cons, and similarities and differences between using Python, R, and SQL in data projects. Megan covers the fundamentals you need to know for each language, shares real-world applications and examples for each, and shows you some case studies to show how you can use Python, R, and SQL to build your own projects.",Course,2023-09-14 07:33 UTC,N/A,false,N/A,
Excel: Avoiding Common Mistakes (Microsoft 365),"If you work in Excel, you know that even a small error can have big consequences, throwing off important calculations or transmitting incorrect information to your team. In this concise course, Excel expert Dennis Taylor provides quick and easy tips to help you avoid common mistakes. Dennis begins with the basics—how to display data so that errors can be easily spotted, enter data correctly the first time, and apply shortcuts for frequent entries. Dennis provides easy ways to protect worksheets and validate your data—techniques that are particularly helpful when multiple team members are contributing to the same spreadsheet. He also shows how to correctly use row and column references and avoid mistakes in formulas.",Course,2021-12-10 16:40 UTC,N/A,false,N/A,
We Need to Talk (Blinkist Summary),"Texts, emails, DMs, tweets—these are increasingly the preferred methods of communication for the modern human race. While these are all effective ways of communicating information, are they actually a good form of communication? How often have you seen a comment misinterpreted because it was via a text or tweet or some other impersonal medium where context and tone can’t be accurately conveyed? While technology and social media have their positives, there isn’t yet a technology that can take the place of a face-to-face, in-person talk. This audiobook summary of Celeste Headlee’s <i>We Need to Talk</i> walks you through the art of the vital but increasingly undervalued skill—a good conversation. This course shows how effective conversation leads to more meaningful relationships and a greater understanding of other people, and offers advice on how to improve your own conversation skills.",Course,2022-05-02 16:29 UTC,N/A,false,N/A,
